prop,seed,test_lang,pos,en_frac,n
0.0,3,en,aux,0.0,32086
0.0,3,en,part,0.0,16360
0.0,3,en,verb,0.0,4923
1.0,1,en,det,1.0,122387
1.0,1,en,noun,0.9900558795937513,122585
1.0,1,en,prep,0.9172372833985467,28624
1.0,1,en,aux,1.0,39920
1.0,1,en,part,1.0,37858
1.0,1,nl,det,1.0,26202
1.0,1,nl,noun,0.9881219844572944,27151
1.0,1,nl,aux,1.0,10786
1.0,1,nl,part,1.0,10747
1.0,1,en,rel,1.0,11418
1.0,1,en,verb,1.0,8983
1.0,1,nl,prep,0.5021739130434782,3680
1.0,1,nl,rel,1.0,105
1.0,1,nl,verb,1.0,6
1.0,2,en,det,1.0,128966
1.0,2,en,noun,0.9897647441961447,128966
1.0,2,en,rel,1.0,14439
1.0,2,en,verb,1.0,14270
1.0,2,en,aux,1.0,42992
1.0,2,en,part,1.0,43161
1.0,2,en,prep,0.9169148302561049,28543
1.0,2,nl,det,1.0,45946
1.0,2,nl,noun,0.9870053025648028,43941
1.0,2,nl,aux,1.0,14581
1.0,2,nl,part,1.0,24495
1.0,2,nl,prep,0.6906849768365321,6044
1.0,2,nl,verb,1.0,200
1.0,2,nl,rel,1.0,9
1.0,3,nl,det,1.0,91728
1.0,3,nl,part,1.0,31547
1.0,3,nl,noun,0.9765044239331919,52329
1.0,3,nl,aux,1.0,9179
1.0,3,en,det,1.0,128921
1.0,3,en,noun,0.9897593445980543,128898
1.0,3,en,prep,0.916532088189861,28484
1.0,3,en,aux,1.0,42989
1.0,3,en,part,1.0,43163
1.0,3,en,rel,1.0,14403
1.0,3,en,verb,1.0,14230
1.0,3,nl,prep,0.5008960573476703,2232
