prop,source_lang,structure,ablation,mean_delta_lex,std_delta_lex
0.7500,nl,obj_pp,subject,0.2591,0.0557
0.7500,nl,obj_pp,verb,0.0186,0.0135
0.7500,nl,obj_rc,object,0.1581,0.0333
0.7500,nl,obj_rc,subject,0.2628,0.0376
0.7500,nl,obj_rc,verb,0.0205,0.0125
0.7500,nl,plain,object,0.2298,0.0574
0.7500,nl,plain,subject,0.6505,0.1317
0.7500,nl,plain,verb,0.0416,0.0268
0.7500,nl,subj_pp,object,0.1089,0.0051
0.7500,nl,subj_pp,subject,0.2500,0.0520
0.7500,nl,subj_pp,verb,0.0190,0.0111
0.7500,nl,subj_pp+obj_pp,object,0.0908,0.0081
0.7500,nl,subj_pp+obj_pp,subject,0.2005,0.0631
0.7500,nl,subj_pp+obj_pp,verb,0.0322,0.0288
0.7500,nl,subj_rc,object,0.1218,0.0393
0.7500,nl,subj_rc,subject,0.2038,0.0089
0.7500,nl,subj_rc,verb,0.0423,0.0295
0.9000,en,obj_pp,object,-0.1103,0.0020
0.9000,en,obj_pp,subject,-0.1441,0.0524
0.9000,en,obj_pp,verb,-0.0964,0.0085
0.9000,en,obj_rc,object,-0.1442,0.0790
0.9000,en,obj_rc,subject,-0.1042,0.0108
0.9000,en,obj_rc,verb,-0.0891,0.0048
0.9000,en,plain,object,-0.1631,0.0000
0.9000,en,plain,subject,-0.3557,0.0860
0.9000,en,plain,verb,-0.1477,0.0084
0.9000,en,subj_pp,object,-0.1090,0.0005
0.9000,en,subj_pp,subject,-0.1591,0.0491
0.9000,en,subj_pp,verb,-0.1021,0.0078
0.9000,en,subj_pp+obj_pp,object,-0.0816,0.0002
0.9000,en,subj_pp+obj_pp,subject,-0.0820,0.0003
0.9000,en,subj_pp+obj_pp,verb,-0.0684,0.0135
0.9000,en,subj_rc,object,-0.0835,0.0165
0.9000,en,subj_rc,subject,-0.1308,0.0571
0.9000,en,subj_rc,verb,-0.0808,0.0139
0.9000,nl,obj_pp,object,0.2639,0.1065
0.9000,nl,obj_pp,subject,0.2796,0.0667
0.9000,nl,obj_pp,verb,0.0493,0.0393
0.9000,nl,obj_rc,object,0.2986,0.0878
0.9000,nl,obj_rc,subject,0.2882,0.0196
0.9000,nl,obj_rc,verb,0.0807,0.0869
0.9000,nl,plain,object,0.2189,0.0675
0.9000,nl,plain,subject,0.6440,0.0210
0.9000,nl,plain,verb,0.1159,0.0076
0.9000,nl,subj_pp,object,0.1442,0.0312
0.9000,nl,subj_pp,subject,0.2552,0.0289
0.9000,nl,subj_pp,verb,0.0689,0.0355
0.9000,nl,subj_pp+obj_pp,object,0.1818,0.0560
0.9000,nl,subj_pp+obj_pp,subject,0.1991,0.0481
